path,video type,file name,encoder,plays,enc_t0,enc_t1,play_t0,play_t1,duration,bitrate,resolution,fps,tbr,tbn,tbc,size0,size_enc
/media/data/hanwu/video_clips1/original_videos/NewsClip/1080P/,NewsClip,NewsClip_1080P-5b53.mkv,libx264,1,2020-09-15 15:07:41.124184,2020-09-15 15:08:03.458797,2020-09-15 15:08:08.463940,2020-09-15 15:08:33.607486,00:00:20.00,1491526,1920x1080,59.94,59.94,1000k,1000k,3642026K,6290K
/media/data/hanwu/video_clips1/original_videos/NewsClip/1080P/,NewsClip,NewsClip_1080P-5b53.mkv,hevc,1,2020-09-15 15:08:38.851456,2020-09-15 15:09:02.553982,2020-09-15 15:09:07.559153,2020-09-15 15:09:31.764922,00:00:20.00,1491526,1920x1080,59.94,59.94,1000k,1000k,3642026K,4110K
/media/data/hanwu/video_clips1/original_videos/NewsClip/1080P/,NewsClip,NewsClip_1080P-5b53.mkv,vp8,1,2020-09-15 15:09:36.921527,2020-09-15 15:10:07.431412,2020-09-15 15:10:12.436556,2020-09-15 15:10:36.442752,00:00:20.00,1491526,1920x1080,59.94,59.94,1000k,1000k,3642026K,1586K
/media/data/hanwu/video_clips1/original_videos/NewsClip/1080P/,NewsClip,NewsClip_1080P-5b53.mkv,vp9,1,2020-09-15 15:10:41.589613,2020-09-15 15:15:06.655431,2020-09-15 15:15:11.657590,2020-09-15 15:15:35.710610,00:00:20.00,1491526,1920x1080,59.94,59.94,1000k,1000k,3642026K,25303K
/media/data/hanwu/video_clips1/original_videos/NewsClip/1080P/,NewsClip,NewsClip_1080P-1db0.mkv,libx264,1,2020-09-15 15:15:40.920297,2020-09-15 15:15:50.744324,2020-09-15 15:15:55.749482,2020-09-15 15:16:20.151566,00:00:20.00,622090,1920x1080,25,25,1000k,1000k,1518777K,18834K
/media/data/hanwu/video_clips1/original_videos/NewsClip/1080P/,NewsClip,NewsClip_1080P-1db0.mkv,hevc,1,2020-09-15 15:16:25.347791,2020-09-15 15:16:38.815002,2020-09-15 15:16:43.820148,2020-09-15 15:17:07.955347,00:00:20.00,622090,1920x1080,25,25,1000k,1000k,1518777K,19754K
/media/data/hanwu/video_clips1/original_videos/NewsClip/1080P/,NewsClip,NewsClip_1080P-1db0.mkv,vp8,1,2020-09-15 15:17:13.117234,2020-09-15 15:17:30.090070,2020-09-15 15:17:35.095214,2020-09-15 15:17:59.093786,00:00:20.00,622090,1920x1080,25,25,1000k,1000k,1518777K,978K
/media/data/hanwu/video_clips1/original_videos/NewsClip/1080P/,NewsClip,NewsClip_1080P-1db0.mkv,vp9,1,2020-09-15 15:18:04.252459,2020-09-15 15:19:54.145847,2020-09-15 15:19:59.149608,2020-09-15 15:20:23.157277,00:00:20.00,622090,1920x1080,25,25,1000k,1000k,1518777K,27486K
/media/data/hanwu/video_clips1/original_videos/NewsClip/1080P/,NewsClip,NewsClip_1080P-02fd.mkv,libx264,1,2020-09-15 15:20:28.382280,2020-09-15 15:20:38.659954,2020-09-15 15:20:43.665106,2020-09-15 15:21:08.013995,00:00:20.00,622090,1920x1080,25,25,1000k,1000k,1518777K,25488K
/media/data/hanwu/video_clips1/original_videos/NewsClip/1080P/,NewsClip,NewsClip_1080P-02fd.mkv,hevc,1,2020-09-15 15:21:13.173623,2020-09-15 15:21:34.057281,2020-09-15 15:21:39.061595,2020-09-15 15:22:03.164880,00:00:20.00,622090,1920x1080,25,25,1000k,1000k,1518777K,19074K
/media/data/hanwu/video_clips1/original_videos/NewsClip/1080P/,NewsClip,NewsClip_1080P-02fd.mkv,vp8,1,2020-09-15 15:22:08.313600,2020-09-15 15:22:23.105157,2020-09-15 15:22:28.109585,2020-09-15 15:22:52.134875,00:00:20.00,622090,1920x1080,25,25,1000k,1000k,1518777K,1406K
/media/data/hanwu/video_clips1/original_videos/NewsClip/1080P/,NewsClip,NewsClip_1080P-02fd.mkv,vp9,1,2020-09-15 15:22:57.310583,2020-09-15 15:25:32.371644,2020-09-15 15:25:37.376814,2020-09-15 15:26:01.377534,00:00:20.00,622090,1920x1080,25,25,1000k,1000k,1518777K,31874K
/media/data/hanwu/video_clips1/original_videos/NewsClip/1080P/,NewsClip,NewsClip_1080P-3427.mkv,libx264,1,2020-09-15 15:26:06.561870,2020-09-15 15:26:15.769565,2020-09-15 15:26:20.774725,2020-09-15 15:26:45.232037,00:00:20.00,622090,1920x1080,25,25,1000k,1000k,1518777K,9171K
/media/data/hanwu/video_clips1/original_videos/NewsClip/1080P/,NewsClip,NewsClip_1080P-3427.mkv,hevc,1,2020-09-15 15:26:50.413598,2020-09-15 15:27:03.018868,2020-09-15 15:27:08.021575,2020-09-15 15:27:32.079833,00:00:20.00,622090,1920x1080,25,25,1000k,1000k,1518777K,10167K
/media/data/hanwu/video_clips1/original_videos/NewsClip/1080P/,NewsClip,NewsClip_1080P-3427.mkv,vp8,1,2020-09-15 15:27:37.229603,2020-09-15 15:27:54.925851,2020-09-15 15:27:59.929605,2020-09-15 15:28:23.867109,00:00:20.00,622090,1920x1080,25,25,1000k,1000k,1518777K,1706K
/media/data/hanwu/video_clips1/original_videos/NewsClip/1080P/,NewsClip,NewsClip_1080P-3427.mkv,vp9,1,2020-09-15 15:28:29.038811,2020-09-15 15:29:40.790892,2020-09-15 15:29:45.796035,2020-09-15 15:30:09.806532,00:00:20.00,622090,1920x1080,25,25,1000k,1000k,1518777K,20936K
/media/data/hanwu/video_clips1/original_videos/NewsClip/1080P/,NewsClip,NewsClip_1080P-48ae.mkv,libx264,1,2020-09-15 15:30:15.021557,2020-09-15 15:30:26.491704,2020-09-15 15:30:31.496852,2020-09-15 15:30:56.066069,00:00:19.99,745763,1920x1080,29.97,29.97,1000k,1000k,1819495K,7140K
/media/data/hanwu/video_clips1/original_videos/NewsClip/1080P/,NewsClip,NewsClip_1080P-48ae.mkv,hevc,1,2020-09-15 15:31:01.274495,2020-09-15 15:31:12.791242,2020-09-15 15:31:17.796417,2020-09-15 15:31:41.813642,00:00:19.99,745763,1920x1080,29.97,29.97,1000k,1000k,1819495K,3696K
/media/data/hanwu/video_clips1/original_videos/NewsClip/1080P/,NewsClip,NewsClip_1080P-48ae.mkv,vp8,1,2020-09-15 15:31:46.976335,2020-09-15 15:32:05.023333,2020-09-15 15:32:10.025588,2020-09-15 15:32:34.088398,00:00:19.99,745763,1920x1080,29.97,29.97,1000k,1000k,1819495K,955K
/media/data/hanwu/video_clips1/original_videos/NewsClip/1080P/,NewsClip,NewsClip_1080P-48ae.mkv,vp9,1,2020-09-15 15:32:39.241595,2020-09-15 15:35:08.503173,2020-09-15 15:35:13.505602,2020-09-15 15:35:37.553891,00:00:19.99,745763,1920x1080,29.97,29.97,1000k,1000k,1819495K,13435K
