path,video type,file name,encoder,plays,enc_t0,enc_t1,play_t0,play_t1,duration,bitrate,resolution,fps,tbr,tbn,tbc,size0,size_enc
/media/data/hanwu/video_clips1/original_videos/Animation/480P/,Animation,Animation_480P-791b.mkv,hevc,1,2020-09-19 01:17:13.277626,2020-09-19 01:17:16.550775,2020-09-19 01:17:21.553614,2020-09-19 01:17:45.613678,00:00:19.99,110494,640x480,29.97,29.97,1000k,1000k,269582K,163K
/media/data/hanwu/video_clips1/original_videos/Animation/480P/,Animation,Animation_480P-791b.mkv,vp8,1,2020-09-19 01:17:50.756813,2020-09-19 01:17:54.173604,2020-09-19 01:17:59.177610,2020-09-19 01:18:23.184476,00:00:19.99,110494,640x480,29.97,29.97,1000k,1000k,269582K,307K
/media/data/hanwu/video_clips1/original_videos/Animation/480P/,Animation,Animation_480P-791b.mkv,vp9,1,2020-09-19 01:18:28.354578,2020-09-19 01:18:33.341238,2020-09-19 01:18:38.345595,2020-09-19 01:19:02.312719,00:00:19.99,110494,640x480,29.97,29.97,1000k,1000k,269582K,214K
/media/data/hanwu/video_clips1/original_videos/Animation/480P/,Animation,Animation_480P-52af.mkv,libx264,1,2020-09-19 01:19:07.473609,2020-09-19 01:19:09.483757,2020-09-19 01:19:14.485611,2020-09-19 01:19:38.996959,00:00:19.99,147436,854x480,29.97,29.97,1000k,1000k,359712K,737K
/media/data/hanwu/video_clips1/original_videos/Animation/480P/,Animation,Animation_480P-52af.mkv,hevc,1,2020-09-19 01:19:44.129693,2020-09-19 01:19:49.439543,2020-09-19 01:19:54.444721,2020-09-19 01:20:18.461289,00:00:19.99,147436,854x480,29.97,29.97,1000k,1000k,359712K,631K
/media/data/hanwu/video_clips1/original_videos/Animation/480P/,Animation,Animation_480P-52af.mkv,vp8,1,2020-09-19 01:20:23.614793,2020-09-19 01:20:35.474336,2020-09-19 01:20:40.477652,2020-09-19 01:21:04.531352,00:00:19.99,147436,854x480,29.97,29.97,1000k,1000k,359712K,502K
/media/data/hanwu/video_clips1/original_videos/Animation/480P/,Animation,Animation_480P-52af.mkv,vp9,1,2020-09-19 01:21:09.690910,2020-09-19 01:21:23.108043,2020-09-19 01:21:28.113196,2020-09-19 01:21:52.048151,00:00:19.99,147436,854x480,29.97,29.97,1000k,1000k,359712K,960K
/media/data/hanwu/video_clips1/original_videos/Animation/480P/,Animation,Animation_480P-6ff4.mkv,libx264,1,2020-09-19 01:21:57.228377,2020-09-19 01:22:00.549201,2020-09-19 01:22:05.554314,2020-09-19 01:22:29.851718,00:00:20.02,147436,854x480,29.97,29.97,1000k,1000k,360313K,11323K
/media/data/hanwu/video_clips1/original_videos/Animation/480P/,Animation,Animation_480P-6ff4.mkv,hevc,1,2020-09-19 01:22:35.040297,2020-09-19 01:22:52.554104,2020-09-19 01:22:57.559284,2020-09-19 01:23:21.639234,00:00:20.02,147436,854x480,29.97,29.97,1000k,1000k,360313K,12102K
/media/data/hanwu/video_clips1/original_videos/Animation/480P/,Animation,Animation_480P-6ff4.mkv,vp8,1,2020-09-19 01:23:26.789595,2020-09-19 01:23:33.399641,2020-09-19 01:23:38.401603,2020-09-19 01:24:02.454574,00:00:20.02,147436,854x480,29.97,29.97,1000k,1000k,360313K,1195K
/media/data/hanwu/video_clips1/original_videos/Animation/480P/,Animation,Animation_480P-6ff4.mkv,vp9,1,2020-09-19 01:24:07.614671,2020-09-19 01:25:46.839422,2020-09-19 01:25:51.844576,2020-09-19 01:26:15.858467,00:00:20.02,147436,854x480,29.97,29.97,1000k,1000k,360313K,17844K
/media/data/hanwu/video_clips1/original_videos/Animation/480P/,Animation,Animation_480P-087e.mkv,libx264,1,2020-09-19 01:26:21.038504,2020-09-19 01:26:22.352824,2020-09-19 01:26:27.357927,2020-09-19 01:26:45.028250,00:00:13.56,63935,720x480,15.41,15.41,1000k,1000k,105818K,2143K
/media/data/hanwu/video_clips1/original_videos/Animation/480P/,Animation,Animation_480P-087e.mkv,hevc,1,2020-09-19 01:26:50.186756,2020-09-19 01:26:54.048340,2020-09-19 01:26:59.053538,2020-09-19 01:27:16.564064,00:00:13.56,63935,720x480,15.41,15.41,1000k,1000k,105818K,1483K
/media/data/hanwu/video_clips1/original_videos/Animation/480P/,Animation,Animation_480P-087e.mkv,vp8,1,2020-09-19 01:27:21.711198,2020-09-19 01:27:23.896213,2020-09-19 01:27:28.901367,2020-09-19 01:27:46.461053,00:00:13.56,63935,720x480,15.41,15.41,1000k,1000k,105818K,527K
/media/data/hanwu/video_clips1/original_videos/Animation/480P/,Animation,Animation_480P-087e.mkv,vp9,1,2020-09-19 01:27:51.609714,2020-09-19 01:28:07.493945,2020-09-19 01:28:12.497627,2020-09-19 01:28:29.967709,00:00:13.56,63935,720x480,15.41,15.41,1000k,1000k,105818K,1993K
/media/data/hanwu/video_clips1/original_videos/Animation/480P/,Animation,Animation_480P-4e36.mkv,libx264,1,2020-09-19 01:28:35.121460,2020-09-19 01:28:36.481232,2020-09-19 01:28:41.486414,2020-09-19 01:29:05.762287,00:00:20.00,92170,640x480,25,25,1000k,1000k,225027K,369K
/media/data/hanwu/video_clips1/original_videos/Animation/480P/,Animation,Animation_480P-4e36.mkv,hevc,1,2020-09-19 01:29:10.934500,2020-09-19 01:29:15.954438,2020-09-19 01:29:20.959626,2020-09-19 01:29:44.991554,00:00:20.00,92170,640x480,25,25,1000k,1000k,225027K,608K
/media/data/hanwu/video_clips1/original_videos/Animation/480P/,Animation,Animation_480P-4e36.mkv,vp8,1,2020-09-19 01:29:50.137775,2020-09-19 01:29:53.800217,2020-09-19 01:29:58.805371,2020-09-19 01:30:22.837410,00:00:20.00,92170,640x480,25,25,1000k,1000k,225027K,587K
/media/data/hanwu/video_clips1/original_videos/Animation/480P/,Animation,Animation_480P-4e36.mkv,vp9,1,2020-09-19 01:30:27.990565,2020-09-19 01:30:34.194643,2020-09-19 01:30:39.199805,2020-09-19 01:31:03.240368,00:00:20.00,92170,640x480,25,25,1000k,1000k,225027K,630K
/media/data/hanwu/video_clips1/original_videos/Animation/480P/,Animation,Animation_480P-6ef6.mkv,libx264,1,2020-09-19 01:31:08.394983,2020-09-19 01:31:09.936951,2020-09-19 01:31:14.942141,2020-09-19 01:31:39.175053,00:00:20.00,92170,640x480,25,25,1000k,1000k,225027K,406K
/media/data/hanwu/video_clips1/original_videos/Animation/480P/,Animation,Animation_480P-6ef6.mkv,hevc,1,2020-09-19 01:31:44.306371,2020-09-19 01:31:49.231694,2020-09-19 01:31:54.236878,2020-09-19 01:32:18.288563,00:00:20.00,92170,640x480,25,25,1000k,1000k,225027K,704K
/media/data/hanwu/video_clips1/original_videos/Animation/480P/,Animation,Animation_480P-6ef6.mkv,vp8,1,2020-09-19 01:32:23.443047,2020-09-19 01:32:28.074826,2020-09-19 01:32:33.079984,2020-09-19 01:32:57.075587,00:00:20.00,92170,640x480,25,25,1000k,1000k,225027K,608K
/media/data/hanwu/video_clips1/original_videos/Animation/480P/,Animation,Animation_480P-6ef6.mkv,vp9,1,2020-09-19 01:33:02.225490,2020-09-19 01:33:09.989397,2020-09-19 01:33:14.994556,2020-09-19 01:33:38.960796,00:00:20.00,92170,640x480,25,25,1000k,1000k,225027K,850K
/media/data/hanwu/video_clips1/original_videos/Animation/480P/,Animation,Animation_480P-7ef2.mkv,libx264,1,2020-09-19 01:33:44.115698,2020-09-19 01:33:46.222337,2020-09-19 01:33:51.227519,2020-09-19 01:34:15.449967,00:00:19.96,122986,854x480,25,25,1000k,1000k,299660K,1616K
/media/data/hanwu/video_clips1/original_videos/Animation/480P/,Animation,Animation_480P-7ef2.mkv,hevc,1,2020-09-19 01:34:20.605959,2020-09-19 01:34:29.916706,2020-09-19 01:34:34.921910,2020-09-19 01:34:58.959980,00:00:19.96,122986,854x480,25,25,1000k,1000k,299660K,1586K
/media/data/hanwu/video_clips1/original_videos/Animation/480P/,Animation,Animation_480P-7ef2.mkv,vp8,1,2020-09-19 01:35:04.113146,2020-09-19 01:35:08.398493,2020-09-19 01:35:13.403656,2020-09-19 01:35:37.311278,00:00:19.96,122986,854x480,25,25,1000k,1000k,299660K,608K
/media/data/hanwu/video_clips1/original_videos/Animation/480P/,Animation,Animation_480P-7ef2.mkv,vp9,1,2020-09-19 01:35:42.467683,2020-09-19 01:36:07.752677,2020-09-19 01:36:12.757866,2020-09-19 01:36:36.708618,00:00:19.96,122986,854x480,25,25,1000k,1000k,299660K,2312K
/media/data/hanwu/video_clips1/original_videos/Animation/480P/,Animation,Animation_480P-0d04.mkv,libx264,1,2020-09-19 01:36:41.857627,2020-09-19 01:36:43.969779,2020-09-19 01:36:48.973616,2020-09-19 01:37:13.229590,00:00:19.97,147929,856x480,30,30,1000k,1000k,360555K,567K
/media/data/hanwu/video_clips1/original_videos/Animation/480P/,Animation,Animation_480P-0d04.mkv,hevc,1,2020-09-19 01:37:18.381672,2020-09-19 01:37:25.259506,2020-09-19 01:37:30.264688,2020-09-19 01:37:54.365870,00:00:19.97,147929,856x480,30,30,1000k,1000k,360555K,942K
/media/data/hanwu/video_clips1/original_videos/Animation/480P/,Animation,Animation_480P-0d04.mkv,vp8,1,2020-09-19 01:37:59.512252,2020-09-19 01:38:05.372241,2020-09-19 01:38:10.377409,2020-09-19 01:38:34.338161,00:00:19.97,147929,856x480,30,30,1000k,1000k,360555K,601K
/media/data/hanwu/video_clips1/original_videos/Animation/480P/,Animation,Animation_480P-0d04.mkv,vp9,1,2020-09-19 01:38:39.499417,2020-09-19 01:38:50.475587,2020-09-19 01:38:55.480742,2020-09-19 01:39:19.457491,00:00:19.97,147929,856x480,30,30,1000k,1000k,360555K,1251K
/media/data/hanwu/video_clips1/original_videos/Animation/480P/,Animation,Animation_480P-1da7.mkv,libx264,1,2020-09-19 01:39:24.617624,2020-09-19 01:39:25.888094,2020-09-19 01:39:30.889606,2020-09-19 01:39:53.179170,00:00:18.42,50196,928x480,9.39,9.39,1000k,1000k,112892K,5149K
/media/data/hanwu/video_clips1/original_videos/Animation/480P/,Animation,Animation_480P-1da7.mkv,hevc,1,2020-09-19 01:39:58.351688,2020-09-19 01:40:03.530634,2020-09-19 01:40:08.533595,2020-09-19 01:40:30.720008,00:00:18.42,50196,928x480,9.39,9.39,1000k,1000k,112892K,4928K
